department_management.head	department_management.management	department_management.department
swimming.stadium	has	swimming.stadium.Capacity
swimming.stadium	has	swimming.stadium.ID
swimming.event	has	swimming.event.Name
swimming.event	has	swimming.event.Year
swimming.event	has	swimming.event.Stadium_ID
swimming.event	has	swimming.event.ID
swimming.record	has	swimming.record.Event_ID
swimming.record	has	swimming.record.ID
swimming.record	has	swimming.record.Swimmer_ID
swimming.record	has	swimming.record.Result
music_4	has	*
music_4	has	music_4.artist
music_4.artist	has	*
music_4	has	music_4.volume
music_4.volume	has	*
music_4	has	music_4.music_festival
music_4.music_festival	has	*
music_4	has	music_4.volume_HAS_music_4
music_4.volume_HAS_music_4	has	*
music_4	has	music_4.music_festival_HAS_music_4
music_4.music_festival_HAS_music_4	has	*
music_4.artist	has	music_4.artist.Age
music_4.artist	has	music_4.artist.Artist
music_4.artist	has	music_4.artist.Artist_ID
music_4.artist	has	music_4.artist.Famous_Title
music_4.artist	has	music_4.artist.Famous_Release_date
music_4.volume	has	music_4.volume.Weeks_on_Top
music_4.volume	has	music_4.volume.Artist_ID
music_4.volume	has	music_4.volume.Volume_Issue
music_4.volume	has	music_4.volume.Volume_ID
music_4.volume	has	music_4.volume.Issue_Date
music_4.volume	has	music_4.volume.Song
music_4.music_festival	has	music_4.music_festival.Category
music_4.music_festival	has	music_4.music_festival.Volume
music_4.music_festival	has	music_4.music_festival.Music_Festival
music_4.music_festival	has	music_4.music_festival.Date_of_ceremony
music_4.music_festival	has	music_4.music_festival.ID
music_4.music_festival	has	music_4.music_festival.Result
document_management	has	*
document_management	has	document_management.Roles
document_management.Roles	has	*
document_management	has	document_management.Users
document_management.Users	has	*
document_management	has	document_management.Document_Structures
document_management.Document_Structures	has	*
document_management	has	document_management.Functional_Areas
document_management.Functional_Areas	has	*
document_management	has	document_management.Images
document_management.Images	has	*
document_management	has	document_management.Documents
document_management.Documents	has	*
document_management	has	document_management.Document_Sections
document_management.Document_Sections	has	*
document_management	has	document_management.Document_Functional_Areas
document_management.Document_Functional_Areas	has	*
document_management	has	document_management.Document_Sections_Images
document_management.Document_Sections_Images	has	*
document_management	has	document_management.users_HAS_document_management
document_management.users_HAS_document_management	has	*
document_management	has	document_management.documents_HAS_document_management
document_management.documents_HAS_document_management	has	*
document_management	has	document_management.document_sections_HAS_document_management
document_management.document_sections_HAS_document_management	has	*
document_management.Roles	has	document_management.Roles.role_description
document_management.Roles	has	document_management.Roles.role_code
document_management.Users	has	document_management.Users.user_name
document_management.Users	has	document_management.Users.password
document_management.Users	has	document_management.Users.user_login
document_management.Users	has	document_management.Users.user_id
document_management.Users	has	document_management.Users.role_code
document_management.Document_Structures	has	document_management.Document_Structures.document_structure_code
document_management.Document_Structures	has	document_management.Document_Structures.parent_document_structure_code
document_management.Document_Structures	has	document_management.Document_Structures.document_structure_description
document_management.Functional_Areas	has	document_management.Functional_Areas.functional_area_description
document_management.Functional_Areas	has	document_management.Functional_Areas.parent_functional_area_code
document_management.Functional_Areas	has	document_management.Functional_Areas.functional_area_code
document_management.Images	has	document_management.Images.image_alt_text
document_management.Images	has	document_management.Images.image_name
document_management.Images	has	document_management.Images.image_id
document_management.Images	has	document_management.Images.image_url
document_management.Documents	has	document_management.Documents.document_type_code
document_management.Documents	has	document_management.Documents.document_structure_code
document_management.Documents	has	document_management.Documents.access_count
document_management.Documents	has	document_management.Documents.document_code
document_management.Documents	has	document_management.Documents.document_name
document_management.Document_Sections	has	document_management.Document_Sections.section_title
document_management.Document_Sections	has	document_management.Document_Sections.section_id
document_management.Document_Sections	has	document_management.Document_Sections.section_sequence
document_management.Document_Sections	has	document_management.Document_Sections.document_code
document_management.Document_Sections	has	document_management.Document_Sections.section_code
document_management.Document_Functional_Areas	has	document_management.Document_Functional_Areas.document_code
document_management.Document_Functional_Areas	has	document_management.Document_Functional_Areas.functional_area_code
document_management.Document_Sections_Images	has	document_management.Document_Sections_Images.section_id
document_management.Document_Sections_Images	has	document_management.Document_Sections_Images.image_id
program_share	has	*
program_share	has	program_share.program
program_share.program	has	*
program_share	has	program_share.channel
program_share.channel	has	*
program_share	has	program_share.broadcast
program_share.broadcast	has	*
program_share	has	program_share.broadcast_share
program_share.broadcast_share	has	*
program_share.program	has	program_share.program.Name
program_share.program	has	program_share.program.Origin
program_share.program	has	program_share.program.Launch
program_share.program	has	program_share.program.Program_ID
program_share.program	has	program_share.program.Owner
program_share.channel	has	program_share.channel.Name
program_share.channel	has	program_share.channel.Channel_ID
program_share.channel	has	program_share.channel.Share_in_percent
program_share.channel	has	program_share.channel.Owner
program_share.channel	has	program_share.channel.Rating_in_percent
program_share.broadcast	has	program_share.broadcast.Channel_ID
program_share.broadcast	has	program_share.broadcast.Program_ID
program_share.broadcast	has	program_share.broadcast.Time_of_day
program_share.broadcast_share	has	program_share.broadcast_share.Date
program_share.broadcast_share	has	program_share.broadcast_share.Channel_ID
program_share.broadcast_share	has	program_share.broadcast_share.Share_in_percent
program_share.broadcast_share	has	program_share.broadcast_share.Program_ID
cre_Theme_park	has	*
cre_Theme_park	has	cre_Theme_park.Ref_Hotel_Star_Ratings
cre_Theme_park.Ref_Hotel_Star_Ratings	has	*
cre_Theme_park	has	cre_Theme_park.Locations
cre_Theme_park.Locations	has	*
cre_Theme_park	has	cre_Theme_park.Ref_Attraction_Types
cre_Theme_park.Ref_Attraction_Types	has	*
cre_Theme_park	has	cre_Theme_park.Visitors
cre_Theme_park.Visitors	has	*
cre_Theme_park	has	cre_Theme_park.Features
cre_Theme_park.Features	has	*
cre_Theme_park	has	cre_Theme_park.Hotels
cre_Theme_park.Hotels	has	*
cre_Theme_park	has	cre_Theme_park.Tourist_Attractions
cre_Theme_park.Tourist_Attractions	has	*
cre_Theme_park	has	cre_Theme_park.Street_Markets
cre_Theme_park.Street_Markets	has	*
cre_Theme_park	has	cre_Theme_park.Shops
cre_Theme_park.Shops	has	*
cre_Theme_park	has	cre_Theme_park.Museums
cre_Theme_park.Museums	has	*
cre_Theme_park	has	cre_Theme_park.Royal_Family
cre_Theme_park.Royal_Family	has	*
cre_Theme_park	has	cre_Theme_park.Theme_Parks
cre_Theme_park.Theme_Parks	has	*
cre_Theme_park	has	cre_Theme_park.Visits
cre_Theme_park.Visits	has	*
cre_Theme_park	has	cre_Theme_park.Photos
cre_Theme_park.Photos	has	*
cre_Theme_park	has	cre_Theme_park.Staff
cre_Theme_park.Staff	has	*
cre_Theme_park	has	cre_Theme_park.Tourist_Attraction_Features
cre_Theme_park.Tourist_Attraction_Features	has	*
cre_Theme_park	has	cre_Theme_park.hotels_HAS_cre_Theme_park
cre_Theme_park.hotels_HAS_cre_Theme_park	has	*
cre_Theme_park	has	cre_Theme_park.tourist_attractions_HAS_cre_Theme_park
cre_Theme_park.tourist_attractions_HAS_cre_Theme_park	has	*
cre_Theme_park	has	cre_Theme_park.street_markets_HAS_cre_Theme_park
cre_Theme_park.street_markets_HAS_cre_Theme_park	has	*
cre_Theme_park	has	cre_Theme_park.shops_HAS_cre_Theme_park
cre_Theme_park.shops_HAS_cre_Theme_park	has	*
cre_Theme_park	has	cre_Theme_park.museums_HAS_cre_Theme_park
cre_Theme_park.museums_HAS_cre_Theme_park	has	*
cre_Theme_park	has	cre_Theme_park.royal_family_HAS_cre_Theme_park
cre_Theme_park.royal_family_HAS_cre_Theme_park	has	*
cre_Theme_park	has	cre_Theme_park.theme_parks_HAS_cre_Theme_park
cre_Theme_park.theme_parks_HAS_cre_Theme_park	has	*
cre_Theme_park	has	cre_Theme_park.visits_HAS_cre_Theme_park
cre_Theme_park.visits_HAS_cre_Theme_park	has	*
cre_Theme_park	has	cre_Theme_park.photos_HAS_cre_Theme_park
cre_Theme_park.photos_HAS_cre_Theme_park	has	*
cre_Theme_park	has	cre_Theme_park.staff_HAS_cre_Theme_park
cre_Theme_park.staff_HAS_cre_Theme_park	has	*
cre_Theme_park.Ref_Hotel_Star_Ratings	has	cre_Theme_park.Ref_Hotel_Star_Ratings.star_rating_code
cre_Theme_park.Ref_Hotel_Star_Ratings	has	cre_Theme_park.Ref_Hotel_Star_Ratings.star_rating_description
cre_Theme_park.Locations	has	cre_Theme_park.Locations.Location_Name
cre_Theme_park.Locations	has	cre_Theme_park.Locations.Address
cre_Theme_park.Locations	has	cre_Theme_park.Locations.Location_ID
cre_Theme_park.Ref_Attraction_Types	has	cre_Theme_park.Ref_Attraction_Types.Attraction_Type_Code
cre_Theme_park.Ref_Attraction_Types	has	cre_Theme_park.Ref_Attraction_Types.Attraction_Type_Description
cre_Theme_park.Visitors	has	cre_Theme_park.Visitors.Tourist_ID
cre_Theme_park.Visitors	has	cre_Theme_park.Visitors.Tourist_Details
cre_Theme_park.Features	has	cre_Theme_park.Features.Feature_ID
cre_Theme_park.Features	has	cre_Theme_park.Features.Feature_Details
cre_Theme_park.Hotels	has	cre_Theme_park.Hotels.hotel_id
cre_Theme_park.Hotels	has	cre_Theme_park.Hotels.star_rating_code
cre_Theme_park.Hotels	has	cre_Theme_park.Hotels.pets_allowed_yn
cre_Theme_park.Hotels	has	cre_Theme_park.Hotels.price_range
cre_Theme_park.Tourist_Attractions	has	cre_Theme_park.Tourist_Attractions.Name
cre_Theme_park.Tourist_Attractions	has	cre_Theme_park.Tourist_Attractions.How_to_Get_There
cre_Theme_park.Tourist_Attractions	has	cre_Theme_park.Tourist_Attractions.Tourist_Attraction_ID
cre_Theme_park.Tourist_Attractions	has	cre_Theme_park.Tourist_Attractions.Attraction_Type_Code
cre_Theme_park.Tourist_Attractions	has	cre_Theme_park.Tourist_Attractions.Location_ID
cre_Theme_park.Street_Markets	has	cre_Theme_park.Street_Markets.Market_ID
cre_Theme_park.Street_Markets	has	cre_Theme_park.Street_Markets.Market_Details
cre_Theme_park.Shops	has	cre_Theme_park.Shops.Shop_ID
cre_Theme_park.Shops	has	cre_Theme_park.Shops.Shop_Details
cre_Theme_park.Museums	has	cre_Theme_park.Museums.Museum_ID
cre_Theme_park.Museums	has	cre_Theme_park.Museums.Museum_Details
cre_Theme_park.Royal_Family	has	cre_Theme_park.Royal_Family.Royal_Family_ID
cre_Theme_park.Theme_Parks	has	cre_Theme_park.Theme_Parks.Theme_Park_Details
cre_Theme_park.Theme_Parks	has	cre_Theme_park.Theme_Parks.Theme_Park_ID
cre_Theme_park.Visits	has	cre_Theme_park.Visits.Tourist_ID
cre_Theme_park.Visits	has	cre_Theme_park.Visits.Tourist_Attraction_ID
cre_Theme_park.Visits	has	cre_Theme_park.Visits.Visit_Details
cre_Theme_park.Visits	has	cre_Theme_park.Visits.Visit_Date
cre_Theme_park.Visits	has	cre_Theme_park.Visits.Visit_ID
cre_Theme_park.Photos	has	cre_Theme_park.Photos.Name
cre_Theme_park.Photos	has	cre_Theme_park.Photos.Photo_ID
cre_Theme_park.Photos	has	cre_Theme_park.Photos.Tourist_Attraction_ID
cre_Theme_park.Photos	has	cre_Theme_park.Photos.Filename
cre_Theme_park.Staff	has	cre_Theme_park.Staff.Name
cre_Theme_park.Staff	has	cre_Theme_park.Staff.Staff_ID
cre_Theme_park.Staff	has	cre_Theme_park.Staff.Tourist_Attraction_ID
cre_Theme_park.Tourist_Attraction_Features	has	cre_Theme_park.Tourist_Attraction_Features.Tourist_Attraction_ID
cre_Theme_park.Tourist_Attraction_Features	has	cre_Theme_park.Tourist_Attraction_Features.Feature_ID
customers_and_addresses	has	*
customers_and_addresses	has	customers_and_addresses.Addresses
customers_and_addresses.Addresses	has	*
customers_and_addresses	has	customers_and_addresses.Products
customers_and_addresses.Products	has	*
customers_and_addresses	has	customers_and_addresses.Customers
customers_and_addresses.Customers	has	*
customers_and_addresses	has	customers_and_addresses.Customer_Contact_Channels
customers_and_addresses.Customer_Contact_Channels	has	*
customers_and_addresses	has	customers_and_addresses.Customer_Orders
customers_and_addresses.Customer_Orders	has	*
customers_and_addresses	has	customers_and_addresses.Customer_Addresses
customers_and_addresses.Customer_Addresses	has	*
customers_and_addresses	has	customers_and_addresses.Order_Items
customers_and_addresses.Order_Items	has	*
customers_and_addresses	has	customers_and_addresses.customer_contact_channels_HAS_customers_and_addresses
customers_and_addresses.customer_contact_channels_HAS_customers_and_addresses	has	*
customers_and_addresses	has	customers_and_addresses.customer_orders_HAS_customers_and_addresses
customers_and_addresses.customer_orders_HAS_customers_and_addresses	has	*
customers_and_addresses.Addresses	has	customers_and_addresses.Addresses.city
customers_and_addresses.Addresses	has	customers_and_addresses.Addresses.address_content
customers_and_addresses.Addresses	has	customers_and_addresses.Addresses.country
customers_and_addresses.Addresses	has	customers_and_addresses.Addresses.state_province_county
customers_and_addresses.Addresses	has	customers_and_addresses.Addresses.address_id
customers_and_addresses.Addresses	has	customers_and_addresses.Addresses.zip_postcode
customers_and_addresses.Products	has	customers_and_addresses.Products.product_details
customers_and_addresses.Products	has	customers_and_addresses.Products.product_id
customers_and_addresses.Customers	has	customers_and_addresses.Customers.customer_name
customers_and_addresses.Customers	has	customers_and_addresses.Customers.payment_method
customers_and_addresses.Customers	has	customers_and_addresses.Customers.other_customer_details
customers_and_addresses.Customers	has	customers_and_addresses.Customers.date_became_customer
customers_and_addresses.Customers	has	customers_and_addresses.Customers.customer_id
customers_and_addresses.Customer_Contact_Channels	has	customers_and_addresses.Customer_Contact_Channels.channel_code
customers_and_addresses.Customer_Contact_Channels	has	customers_and_addresses.Customer_Contact_Channels.contact_number
customers_and_addresses.Customer_Contact_Channels	has	customers_and_addresses.Customer_Contact_Channels.active_from_date
customers_and_addresses.Customer_Contact_Channels	has	customers_and_addresses.Customer_Contact_Channels.customer_id
customers_and_addresses.Customer_Contact_Channels	has	customers_and_addresses.Customer_Contact_Channels.active_to_date
customers_and_addresses.Customer_Orders	has	customers_and_addresses.Customer_Orders.order_details
customers_and_addresses.Customer_Orders	has	customers_and_addresses.Customer_Orders.order_status
customers_and_addresses.Customer_Orders	has	customers_and_addresses.Customer_Orders.order_date
customers_and_addresses.Customer_Orders	has	customers_and_addresses.Customer_Orders.customer_id
customers_and_addresses.Customer_Orders	has	customers_and_addresses.Customer_Orders.order_id
customers_and_addresses.Customer_Addresses	has	customers_and_addresses.Customer_Addresses.date_address_to
customers_and_addresses.Customer_Addresses	has	customers_and_addresses.Customer_Addresses.address_id
customers_and_addresses.Customer_Addresses	has	customers_and_addresses.Customer_Addresses.customer_id
customers_and_addresses.Customer_Addresses	has	customers_and_addresses.Customer_Addresses.date_address_from
customers_and_addresses.Customer_Addresses	has	customers_and_addresses.Customer_Addresses.address_type
customers_and_addresses.Order_Items	has	customers_and_addresses.Order_Items.order_quantity
customers_and_addresses.Order_Items	has	customers_and_addresses.Order_Items.product_id
customers_and_addresses.Order_Items	has	customers_and_addresses.Order_Items.order_id
workshop_paper	has	*
workshop_paper	has	workshop_paper.workshop
workshop_paper.workshop	has	*
workshop_paper	has	workshop_paper.submission
workshop_paper.submission	has	*
workshop_paper	has	workshop_paper.Acceptance
workshop_paper.Acceptance	has	*
workshop_paper.workshop	has	workshop_paper.workshop.Date
workshop_paper.workshop	has	workshop_paper.workshop.Name
workshop_paper.workshop	has	workshop_paper.workshop.Venue
workshop_paper.workshop	has	workshop_paper.workshop.Workshop_ID
workshop_paper.submission	has	workshop_paper.submission.Submission_ID
workshop_paper.submission	has	workshop_paper.submission.Scores
workshop_paper.submission	has	workshop_paper.submission.Author
workshop_paper.submission	has	workshop_paper.submission.College
workshop_paper.Acceptance	has	workshop_paper.Acceptance.Submission_ID
workshop_paper.Acceptance	has	workshop_paper.Acceptance.Workshop_ID
workshop_paper.Acceptance	has	workshop_paper.Acceptance.Result
university_basketball	has	*
university_basketball	has	university_basketball.basketball_match
university_basketball.basketball_match	has	*
university_basketball	has	university_basketball.university
university_basketball.university	has	*
university_basketball	has	university_basketball.basketball_match_HAS_university_basketball
university_basketball.basketball_match_HAS_university_basketball	has	*
university_basketball.basketball_match	has	university_basketball.basketball_match.All_Games_Percent
university_basketball.basketball_match	has	university_basketball.basketball_match.Team_Name
university_basketball.basketball_match	has	university_basketball.basketball_match.All_Home
university_basketball.basketball_match	has	university_basketball.basketball_match.All_Games
university_basketball.basketball_match	has	university_basketball.basketball_match.Team_ID
university_basketball.basketball_match	has	university_basketball.basketball_match.ACC_Home
university_basketball.basketball_match	has	university_basketball.basketball_match.All_Road
university_basketball.basketball_match	has	university_basketball.basketball_match.ACC_Road
university_basketball.basketball_match	has	university_basketball.basketball_match.ACC_Percent
university_basketball.basketball_match	has	university_basketball.basketball_match.School_ID
university_basketball.basketball_match	has	university_basketball.basketball_match.All_Neutral
university_basketball.basketball_match	has	university_basketball.basketball_match.ACC_Regular_Season
university_basketball.university	has	university_basketball.university.Affiliation
university_basketball.university	has	university_basketball.university.School
university_basketball.university	has	university_basketball.university.Nickname
university_basketball.university	has	university_basketball.university.Location
university_basketball.university	has	university_basketball.university.Founded
university_basketball.university	has	university_basketball.university.Primary_conference
university_basketball.university	has	university_basketball.university.School_ID
university_basketball.university	has	university_basketball.university.Enrollment
hr_1	has	*
hr_1	has	hr_1.regions
hr_1.regions	has	*
hr_1	has	hr_1.countries
hr_1.countries	has	*
hr_1	has	hr_1.departments
hr_1.departments	has	*
hr_1	has	hr_1.jobs
hr_1.jobs	has	*
hr_1	has	hr_1.employees
hr_1.employees	has	*
hr_1	has	hr_1.job_history
hr_1.job_history	has	*
hr_1	has	hr_1.locations
hr_1.locations	has	*
hr_1	has	hr_1.countries_HAS_hr_1
hr_1.countries_HAS_hr_1	has	*
hr_1	has	hr_1.employees_HAS_hr_1
hr_1.employees_HAS_hr_1	has	*
hr_1	has	hr_1.job_history_HAS_hr_1
hr_1.job_history_HAS_hr_1	has	*
hr_1	has	hr_1.locations_HAS_hr_1
hr_1.locations_HAS_hr_1	has	*
hr_1.regions	has	hr_1.regions.REGION_ID
hr_1.regions	has	hr_1.regions.REGION_NAME
hr_1.countries	has	hr_1.countries.REGION_ID
hr_1.countries	has	hr_1.countries.COUNTRY_NAME
hr_1.countries	has	hr_1.countries.COUNTRY_ID
hr_1.departments	has	hr_1.departments.LOCATION_ID
hr_1.departments	has	hr_1.departments.DEPARTMENT_ID
hr_1.departments	has	hr_1.departments.MANAGER_ID
hr_1.departments	has	hr_1.departments.DEPARTMENT_NAME
hr_1.jobs	has	hr_1.jobs.MAX_SALARY
hr_1.jobs	has	hr_1.jobs.JOB_TITLE
hr_1.jobs	has	hr_1.jobs.JOB_ID
hr_1.jobs	has	hr_1.jobs.MIN_SALARY
hr_1.employees	has	hr_1.employees.PHONE_NUMBER
hr_1.employees	has	hr_1.employees.EMAIL
hr_1.employees	has	hr_1.employees.SALARY
hr_1.employees	has	hr_1.employees.FIRST_NAME
hr_1.employees	has	hr_1.employees.HIRE_DATE
hr_1.employees	has	hr_1.employees.EMPLOYEE_ID
hr_1.employees	has	hr_1.employees.DEPARTMENT_ID
hr_1.employees	has	hr_1.employees.LAST_NAME
hr_1.employees	has	hr_1.employees.JOB_ID
hr_1.employees	has	hr_1.employees.COMMISSION_PCT
hr_1.employees	has	hr_1.employees.MANAGER_ID
hr_1.job_history	has	hr_1.job_history.EMPLOYEE_ID
hr_1.job_history	has	hr_1.job_history.END_DATE
hr_1.job_history	has	hr_1.job_history.START_DATE
hr_1.job_history	has	hr_1.job_history.DEPARTMENT_ID
hr_1.job_history	has	hr_1.job_history.JOB_ID
hr_1.locations	has	hr_1.locations.STREET_ADDRESS
hr_1.locations	has	hr_1.locations.POSTAL_CODE
hr_1.locations	has	hr_1.locations.STATE_PROVINCE
hr_1.locations	has	hr_1.locations.LOCATION_ID
hr_1.locations	has	hr_1.locations.CITY
hr_1.locations	has	hr_1.locations.COUNTRY_ID
performance_attendance	has	*
performance_attendance	has	performance_attendance.member
performance_attendance.member	has	*
performance_attendance	has	performance_attendance.performance
performance_attendance.performance	has	*
performance_attendance.member	has	performance_attendance.member.Name
performance_attendance.member	has	performance_attendance.member.Nationality
performance_attendance.member	has	performance_attendance.member.Role
performance_attendance.member	has	performance_attendance.member.Member_ID
performance_attendance.performance	has	performance_attendance.performance.Date
performance_attendance.performance	has	performance_attendance.performance.Performance_ID
performance_attendance.performance	has	performance_attendance.performance.Location
performance_attendance.performance	has	performance_attendance.performance.Attendance
performance_attendance.performance	has	performance_attendance.performance.Host
theme_gallery	has	*
theme_gallery	has	theme_gallery.artist
theme_gallery.artist	has	*
theme_gallery	has	theme_gallery.exhibition
theme_gallery.exhibition	has	*
theme_gallery	has	theme_gallery.exhibition_record
theme_gallery.exhibition_record	has	*
theme_gallery	has	theme_gallery.exhibition_HAS_theme_gallery
theme_gallery.exhibition_HAS_theme_gallery	has	*
theme_gallery	has	theme_gallery.exhibition_record_HAS_theme_gallery
theme_gallery.exhibition_record_HAS_theme_gallery	has	*
theme_gallery.artist	has	theme_gallery.artist.Country
theme_gallery.artist	has	theme_gallery.artist.Age
theme_gallery.artist	has	theme_gallery.artist.Name
theme_gallery.artist	has	theme_gallery.artist.Year_Join
theme_gallery.artist	has	theme_gallery.artist.Artist_ID
theme_gallery.exhibition	has	theme_gallery.exhibition.Year
theme_gallery.exhibition	has	theme_gallery.exhibition.Theme
theme_gallery.exhibition	has	theme_gallery.exhibition.Artist_ID
theme_gallery.exhibition	has	theme_gallery.exhibition.Exhibition_ID
theme_gallery.exhibition	has	theme_gallery.exhibition.Ticket_Price
theme_gallery.exhibition_record	has	theme_gallery.exhibition_record.Date
theme_gallery.exhibition_record	has	theme_gallery.exhibition_record.Exhibition_ID
theme_gallery.exhibition_record	has	theme_gallery.exhibition_record.Attendance
entrepreneur	has	*
entrepreneur	has	entrepreneur.entrepreneur
entrepreneur.entrepreneur	has	*
entrepreneur	has	entrepreneur.people
entrepreneur.people	has	*
entrepreneur	has	entrepreneur.entrepreneur_HAS_entrepreneur
entrepreneur.entrepreneur_HAS_entrepreneur	has	*
entrepreneur.entrepreneur	has	entrepreneur.entrepreneur.Company
entrepreneur.entrepreneur	has	entrepreneur.entrepreneur.Investor
entrepreneur.entrepreneur	has	entrepreneur.entrepreneur.Money_Requested
entrepreneur.entrepreneur	has	entrepreneur.entrepreneur.People_ID
entrepreneur.entrepreneur	has	entrepreneur.entrepreneur.Entrepreneur_ID
entrepreneur.people	has	entrepreneur.people.Name
entrepreneur.people	has	entrepreneur.people.Date_of_Birth
entrepreneur.people	has	entrepreneur.people.Weight
entrepreneur.people	has	entrepreneur.people.People_ID
entrepreneur.people	has	entrepreneur.people.Height
roller_coaster	has	*
roller_coaster	has	roller_coaster.roller_coaster
roller_coaster.roller_coaster	has	*
roller_coaster	has	roller_coaster.country
roller_coaster.country	has	*
roller_coaster	has	roller_coaster.roller_coaster_HAS_roller_coaster
roller_coaster.roller_coaster_HAS_roller_coaster	has	*
roller_coaster.roller_coaster	has	roller_coaster.roller_coaster.Name
roller_coaster.roller_coaster	has	roller_coaster.roller_coaster.Opened
roller_coaster.roller_coaster	has	roller_coaster.roller_coaster.Status
roller_coaster.roller_coaster	has	roller_coaster.roller_coaster.Country_ID
roller_coaster.roller_coaster	has	roller_coaster.roller_coaster.Length
roller_coaster.roller_coaster	has	roller_coaster.roller_coaster.Roller_Coaster_ID
roller_coaster.roller_coaster	has	roller_coaster.roller_coaster.Height
roller_coaster.roller_coaster	has	roller_coaster.roller_coaster.Park
roller_coaster.roller_coaster	has	roller_coaster.roller_coaster.Speed
roller_coaster.country	has	roller_coaster.country.Name
roller_coaster.country	has	roller_coaster.country.Area
roller_coaster.country	has	roller_coaster.country.Country_ID
roller_coaster.country	has	roller_coaster.country.Population
roller_coaster.country	has	roller_coaster.country.Languages
activity_1	has	*
activity_1	has	activity_1.Activity
activity_1.Activity	has	*
activity_1	has	activity_1.Student
activity_1.Student	has	*
activity_1	has	activity_1.Faculty
activity_1.Faculty	has	*
activity_1	has	activity_1.Participates_in
activity_1.Participates_in	has	*
activity_1	has	activity_1.Faculty_Participates_in
activity_1.Faculty_Participates_in	has	*
activity_1.Activity	has	activity_1.Activity.activity_name
activity_1.Activity	has	activity_1.Activity.actid
activity_1.Student	has	activity_1.Student.Age
activity_1.Student	has	activity_1.Student.city_code
activity_1.Student	has	activity_1.Student.Advisor
activity_1.Student	has	activity_1.Student.Major
activity_1.Student	has	activity_1.Student.Sex
activity_1.Student	has	activity_1.Student.Fname
activity_1.Student	has	activity_1.Student.StuID
activity_1.Student	has	activity_1.Student.LName
activity_1.Faculty	has	activity_1.Faculty.Building
activity_1.Faculty	has	activity_1.Faculty.Sex
activity_1.Faculty	has	activity_1.Faculty.Lname
activity_1.Faculty	has	activity_1.Faculty.Rank
activity_1.Faculty	has	activity_1.Faculty.Phone
activity_1.Faculty	has	activity_1.Faculty.Room
activity_1.Faculty	has	activity_1.Faculty.Fname
activity_1.Faculty	has	activity_1.Faculty.FacID
activity_1.Participates_in	has	activity_1.Participates_in.stuid
activity_1.Participates_in	has	activity_1.Participates_in.actid
activity_1.Faculty_Participates_in	has	activity_1.Faculty_Participates_in.FacID
activity_1.Faculty_Participates_in	has	activity_1.Faculty_Participates_in.actid
journal_committee	has	*
journal_committee	has	journal_committee.journal
journal_committee.journal	has	*
journal_committee	has	journal_committee.editor
journal_committee.editor	has	*
journal_committee	has	journal_committee.journal_committee
journal_committee.journal_committee	has	*
journal_committee.journal	has	journal_committee.journal.Date
journal_committee.journal	has	journal_committee.journal.Theme
journal_committee.journal	has	journal_committee.journal.Sales
journal_committee.journal	has	journal_committee.journal.Journal_ID
journal_committee.editor	has	journal_committee.editor.Age
journal_committee.editor	has	journal_committee.editor.Name
journal_committee.editor	has	journal_committee.editor.Editor_ID
journal_committee.journal_committee	has	journal_committee.journal_committee.Editor_ID
journal_committee.journal_committee	has	journal_committee.journal_committee.Work_Type
journal_committee.journal_committee	has	journal_committee.journal_committee.Journal_ID
allergy_1	has	*
allergy_1	has	allergy_1.Allergy_Type
allergy_1.Allergy_Type	has	*
allergy_1	has	allergy_1.Student
allergy_1.Student	has	*
allergy_1	has	allergy_1.Has_Allergy
allergy_1.Has_Allergy	has	*
allergy_1.Allergy_Type	has	allergy_1.Allergy_Type.AllergyType
allergy_1.Allergy_Type	has	allergy_1.Allergy_Type.Allergy
allergy_1.Student	has	allergy_1.Student.Age
allergy_1.Student	has	allergy_1.Student.city_code
allergy_1.Student	has	allergy_1.Student.Advisor
allergy_1.Student	has	allergy_1.Student.Major
allergy_1.Student	has	allergy_1.Student.Sex
allergy_1.Student	has	allergy_1.Student.Fname
allergy_1.Student	has	allergy_1.Student.StuID
allergy_1.Student	has	allergy_1.Student.LName
allergy_1.Has_Allergy	has	allergy_1.Has_Allergy.Allergy
allergy_1.Has_Allergy	has	allergy_1.Has_Allergy.StuID
museum_visit	has	*
museum_visit	has	museum_visit.museum
museum_visit.museum	has	*
museum_visit	has	museum_visit.visitor
museum_visit.visitor	has	*
museum_visit	has	museum_visit.visit
museum_visit.visit	has	*
museum_visit.museum	has	museum_visit.museum.Name
museum_visit.museum	has	museum_visit.museum.Museum_ID
museum_visit.museum	has	museum_visit.museum.Open_Year
museum_visit.museum	has	museum_visit.museum.Num_of_Staff
museum_visit.visitor	has	museum_visit.visitor.Age
museum_visit.visitor	has	museum_visit.visitor.Name
museum_visit.visitor	has	museum_visit.visitor.Level_of_membership
museum_visit.visitor	has	museum_visit.visitor.ID
museum_visit.visit	has	museum_visit.visit.Total_spent
museum_visit.visit	has	museum_visit.visit.Museum_ID
museum_visit.visit	has	museum_visit.visit.Num_of_Ticket
museum_visit.visit	has	museum_visit.visit.visitor_ID
race_track	has	*
race_track	has	race_track.race
race_track.race	has	*
race_track	has	race_track.track
race_track.track	has	*
race_track	has	race_track.race_HAS_race_track
race_track.race_HAS_race_track	has	*
race_track.race	has	race_track.race.Date
race_track.race	has	race_track.race.Name
race_track.race	has	race_track.race.Track_ID
